,count,hate_speech,offensive,neither,class,comments
11,3,1,1,1,0,Wai su mata ba mugaye cikinsu ai gara wannan namijin da sauki macen da ke aiki mutun lahira kai tsaye fa
12,0,0,0,0,2,5Ga wani jikan malam din acikin kiristociðŸ˜‚
13,2,0,1,1,0,95% Fulani makiya suna da hanu a Taadacin Arewa kasa Nigeria.
14,0,0,0,0,2,"A a Dan uwa wanna maganar kwanan nan ta fara tasowa saboda wasu suna son amfani da ita don cimma bukatunsu na siyasa,dole muyi taka tsantsan my yan arewa. Ai kano Akwai yan kuduma dasuka zama tamkar yan kasa kasancewar kano uwace mu a arewa kuma wanna tarihin ai ba bakobane."
15,0,0,0,0,2,A cikin su guda nawa aka korawa daga Kan mulki
16,3,1,1,1,1,"Dan Allah inada tmby wai yara nawa ma suka Haifa ne take wannan shirmen,kodai ta danyi hali irin nasu na mata ne,I rest my case"
17,0,0,0,0,2,"A duk Arewa babu wanda ya kaimu ladabi da hankali. Muna gina yaranmu bisa tubali ingantace don ko in ya tashi ya tashi da hankali, ladabi da kunya. Inaso ka shigo Bida ka koya yadda baba ke musunta na baya gareshi, baba na koya hankali tun shina yaro. Mai hankali, Ladabi, imani da sanin matsayinshi da wuya yaro shi baceka da raini. Saura ya rage gareku. Komai ka shuka shi zaka girba."
18,3,1,1,1,0,Naje hotel kama dakin 30k nakwanta banyi fitsarin kwance Ba hauka akeyi
19,0,0,0,0,2,A kowane irin Addini akan sami masu sojar Gona wannan de ba pastor bane Allah ya shiga tsakanin nagari da mugu akowane irin addini
20,0,0,0,0,2,A kwatan ta adalci mana
21,0,0,0,0,2,"A masallaci ðŸ¤¦ðŸ˜­ yaa ubangiji kakawo Mana iyakar wannan musiba Allah yajikan wa inda aka rasa wa inda suka jikkata Allah yabasu lpy Allah yakubutar da wa,inda suka daukaðŸ¤²"
22,0,0,0,0,2,"A shari'ama batayi laifiba matuqar zata iya tsare ka'idodin yin hakan,amma za'atayi hasarar darajoji masu tarin yawa."
23,0,0,0,0,2,A wani dalili za'a rushe mana gida
24,0,0,0,0,2,"A,a babu yadda zakayi kana shugaban wani bai bacekaba, inka gane hakuri akeyi kuma hakurin shine takki gareka. Duk wanda Allah yaba shugabanci shikan gwada hankalinsa ga na baya, don yazama misali ga mai tasowa. Mutun bai cika gomaba, ana gwada hankali da imani da hakuri. Wassalam"
25,0,0,0,0,2,"A,to kuma dai tazauna ta gani"
26,0,0,0,0,2,A'a kamanta samada shekaru dari ne
27,0,0,0,0,2,"A'uzubillahi, Ya Allah katona asirin su"
28,0,0,0,0,2,"Aa kuy bin cike kilar akwai gurbatattu cikin su, dan nasan gwamnati bata ai watar da aiki sai ta samu gamsassun bayanai shi yasa muke ganin jin kirinra akan wasu yanke hukunci musamman ga yan ta adda"
29,0,0,0,0,2,Hm allah yaquta allah yaba kuwa rabasa duk mesA tsridahaka tanemimu kuwadatakecikihaka tayimanA magana in sha allahu
30,0,0,0,0,2,"Aikuwa basa haka , kamaci sa,a in basuyi maka duka ba"
31,3,1,1,1,1,Abanza ai yaran su na daji
32,3,1,1,1,0,Abba Nasir Umar Allah Yakaramusu Nauyin Kasa
33,0,0,0,0,2,Abd-El'Mumeen Gambo Abdullahi ArdoFulbe-FulaniEmpire gaskiya wanan zalumci ne mine ne laifinsu wasuka zalumta wanan yana days saga cikin dalilan dake kara ruruta wutar rikiciki Allah ya sawake
34,0,0,0,0,2,Abd-El'Mumeen Gambo Abdullahi ArdoFulbe-FulaniEmpire ina gani wlhy kuma dayawa masu irin wanan comments basu da tunani ko kadan babu wata kabila ko al'umma da babu mutanen banza ciki harkar kidnapping da tsaro daya lalace arewa. Ae bafulani kawai ake kamawaba babu kabilar da ba'akamawa cikin wanan harka har yan kudu ansha kamasu dawanan harka sabida siyasa dawani a manufa tasiyasa bawanda ake fada sai Fulani sabida kabilan Fulani da hausawa sune target kowane rikiciki yau a Nigeria rigar Fulani ake shiga yan kudu nawa ne aka kama suna sa kayan Fulani suna ta'adanci duk bahaushe dayace Fulani abokan gabarsane wlhy yana yaudaran kansa ne Fulani yan uwanmune baikamata mukyamacesu ba yakamata mudawo da hankulanmu guri daya mufuskanci inda matsalarmu tafara da yanda zamu tunkareta muroki Allah yabamu mafita Allah yagafartaana yayemana wanan fitina ameen
35,0,0,0,0,2,Abdulbasir Sahabi ammah aibasu bane ko kaji tsoran allah
36,0,0,0,0,2,Abdulbasir Sahabi idan suna cikin ta'addanci anyi dede idan basu ciki anyi zalunci Allah ya isa
37,0,0,0,0,2,Abdulbasir Sahabi su wadannan kuma yan uwansu ne suka tashe su
38,0,0,0,0,2,Abdulbasir Sahabi su wadannan ne ko Kuma wasu fulanin ne?
39,0,0,0,0,2,Abdulbasir Sahabi wanna n gaskiya ne
40,3,1,1,1,1,Abdulbasir Sahabi wlh ko kaduba kagani fa Amma saboda antayar da Yan ta adda suke surutun banza
41,0,0,0,0,2,"Abdulfattah Salisu Muhammad nifa A Gyambu ta jahar taraba Nataso kasinko koba fullance Gaske maijin Yaren ful6e baigakureni da yaren fulatanci balle kai waini zakagyarawa magana da harshen ful6e idan kaji Anche kado to Arne kenan inkaji Anche ha6e to Arne kenan A jam,i"
42,3,1,1,1,0,Abdullahi Adam kafara budewa uwarka kafuri
43,0,0,0,0,2,Abdullahi Sani Fago gaskiya ne injiniya
44,3,1,1,1,0,Abdulrahman Abubakar fulani makiyaya yanta'adda ne
45,3,1,1,1,0,"Abdulrahman Abubakar su ke hada baki da Yan bindiga ,suke Basu mafaka"
46,3,1,1,1,0,Abdulrahman Abubakar ubanka daga kai har diyan
47,0,0,0,0,2,Abeeye Ahmad Allah ba Axxalumin kowa bane Kuma duk mai gaskiya yana tare dashi Amma A cikin irin Abinda a kewa fulani yayi muni sai kace su ba mutane bane bayan da rayuwar ka da tasu duk daya ko rai yafi rai ne
48,0,0,0,0,2,"Abin mamaki shi ne mutane basu yarda chewa sai mun tuba da Allah sana mun gera ah layemun sana mun samun sama lafiya, aman ar yan zu mun yada cewar yan siyasa ne zayakawo mana mastala Nigeria"
49,0,0,0,0,2,Abin yna kyau sabida ni kainaa abin yna nishadantar dani
50,3,1,1,1,2,Abinciki ya abunyafaru dagaganin rubutu kawai saikowa yafadisanransa infulanin masugaskiyane to abunyazama zalinci idankuma suma munafukaine to hakane daidai
51,0,0,0,0,2,Allah sarki. Irin mazajen Nan suna tsoratamu wlhiðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­
52,0,0,0,0,2,Abinda akeyiwa gudun faruwan ya riga ya faru a raba tsakanin Hausa da Fulani yanzu kodan masu son zaman lafiya ne shikenan kallon yan ta'adda za'a dinga yimusu Allah ya bamu zaman lafiya a arewa dama duniyar musulmai
53,3,1,1,1,1,lallai ya muri kudin shi yazama jarimin na miji .ai damace ta mokadar da Kai gara ka mukadar da ita.
54,0,0,0,0,2,Abinda ankwana biyu dayinshi basu taimaka ba saiyanxu hmmm.allah ya gyaramana amin
55,3,1,1,1,1,Abokin Barawo bara???
56,3,1,1,1,1,abokina wasu abunda suke dauka duk bafulatani Dan taadda ne alhalin bahakaba ne duk iskancin da akeyi hausawa ne jagora fa
57,3,1,1,1,0,Abu Abdull Allah ko arne kaima sai Allah yahada ka da ta ka matsalar insha Allah
58,0,0,0,0,2,Abu Abdull Hausawa yan cikin gari kumafa
59,0,0,0,0,2,"Abubakar Ahmed Halliru , kowane kabila akwai baragurbi bai kamatayayi jam'i."
60,0,0,0,0,2,Abubakar Ahmed Halliru ban fahimci zancenka ba fah
61,3,1,1,1,1,Abubakar Garba SLM abokina wlh kacewani abu anan amma wayansu wawayene bazasuganeba shiwancin wawane dananunamasa shibako maibane nagide
62,0,0,0,0,2,"Abubakar Idris ai idan har an same su da laifi irin na ta'Addanci ya halasta arusa gidajensu sannan Kuma akama su ahukunta su, Hukuncin dan ta'Adda kuwa shine kisa kamar yanda yake kashe wadanda basu ji ba basu gani ha"
63,1,0,1,0,2,"Abubakar Idris haka ne, amma kasan duk inda akace, akwai al'ummar da suke cutar da wasu ta hanyar zalunci, dan doka ta hau kansu ba'ilaifi ba, suma haka sukayi"
64,0,0,0,0,2,Abubakar Ishaq Danmakaranta fulanin sullubawa ake CE musu
65,0,0,0,0,2,Abubakar Umar SD damancen sai in mutun bashida tsuron Allah ne zai fada
66,0,0,0,0,2,Abubuwan da kasar Qatar tayi ba kowacce kasa bane zata iyya yinsa domin tsoron kasashen Yamma Allah yakara muku karfin gwuiwa
67,3,1,1,1,0,Jinake idan akace fyade kamar namiji babba yasami karamar yarinya yayi mata taqarfi harya jimata ciwo shine fyadeðŸ˜•
68,0,0,0,0,2,"Abun kayatarwa harda Muhammadu Sunusi ll, kuma cikin gidan Kutumbawa har da Muhammadu da yayi sarauta sau biyuðŸ˜Œ"
69,0,0,0,0,2,"Abun tambaya a nan shine: 1. Shin filin da rugagen suke, asalin na wa ne ne? In filin soja ne, kawai sun share kun zauna, ai Fulanin ba su da case. 2. Akwai wata sahihiyan shaida, alama ko takardan da ke nuna cewa wannan filin na Fulanin ne?"
70,0,0,0,0,2,Abun Tambayan shine tanada Kudi?
71,0,0,0,0,2,Abun Tau sayi sukuma haka tasu rayiwar takare ya Allah karkasa muzama cikin hasararru Allah ka shiryamu ka yafemana lefukamma kasamu cikin masu tuba kasa mucika da Imani badan halimmuba
72,3,1,1,1,1,Wannan gidan jaridar Banda shirme Babu Abinda suke kawowa mutane
73,3,1,1,1,1,"Dakyau ðŸ‘ðŸ‘ðŸ‘ inne wallahi biyu zan,aura rana Daya ðŸ¤—ðŸ¤— Tunda batada hankali ðŸ¤”ðŸ¤” kishi Aiba haukabane Yanzu wagari yawaya kina kiyama kinacin ubanki Shikuma yananan Yana more rayuwarshi tawata bakeba sakarya kawai ðŸ¤—ðŸ¤— aikara kikashe kanki daki kashe mijin Dama haka akeyi wallahi da ansamu sauki akan kudinga kashe mijin ðŸ¤—ðŸ¤—"
74,3,1,1,1,1,"Abunda ake bukata bashi sukeyiba sunaso su fisata wadannan sukoma ta,addanci sbd suna da abinci a ciki"
75,3,1,1,1,0,Abunda DANFODIYO yayiwa kakaninmu hausawa shineh fulani sukeyimana yanzu Dan sununamana dabi'ar su ta gaskiya ALLAH YA ISA FULANI ALLAH ZE MANA HISABI DAKU ðŸ–•ðŸ–•ðŸ–•  Ku fulani Baku da alkawari Daman malamai since duk Wanda kaga y fiye San mulki to munafiki neh a kasar Nan bawanda yakai bafulatani San yin mulki Kai ni Ina da tambaya wai meye munufar Usman Dan fodiyo ta sauke hausawa daga mulkin sarauta ya Dora fulani yan uwansa meye dalilinsa?????? Pls I need a answer now????
76,3,1,1,1,1,Sunyi aikin banza sai me dansunkona shijabi Allah zaitaimaki musulunchi koda kafirai basaso Allah yataimaki musulmai da musulunchi
77,0,0,0,0,2,Abunda gwamnatin kano ta aikata akan wadannan matasa sam sam baidaceba allah.
78,0,0,0,0,2,Abusaddiq Saddiq kaima Dan kukan saiyajama duka insha allahu
79,3,1,1,1,1,Aci uwarsu
80,0,0,0,0,2,Acikin wane kasa ne A wane garine
81,0,0,0,0,2,Adai ci gaba da bayyana manufa tanan zamu ci gaba da fahimtar masu nuni da abin da Allah yace da kuma masu nuni da abinda son zuciyarsu ya qawata musu.
82,0,0,0,0,2,Adai maida hankali.kar kleu ya tono bau
83,0,0,0,0,2,Adaiyi bincike bahaka kawai sojoji zasurusa musu muhallin suba batareda daliliba
84,3,1,1,1,1,Adams Nuhu ai wannan dalilin shiyasa baza a kawo karshan ta addanci a arewa ba sabo da munafurci na yan arewa mutane suna ta addanci amma ana goyiwa da bayansu
85,0,0,0,0,2,Adams Nuhu irinku ne kuka kai su kuka baro su. shine ya jefa mu cikin wannan Halin
86,0,0,0,0,2,Adamu Abubakar Filiya. Wlhy abunda sojojii sukayi a Borno ko kaso 5 cikin 100 ba'ayiwa fulani a dajii baaa. Amma maganar gaskiya itache yawanchin rugan fulanii na cikin daji shine mafakar yan ta'adda muddin baza su nuna su ba toh wlhy sojoji kuma yanzu ma suka fara
87,0,0,0,0,2,"Adamu Hassan mutumin da yatashi adaji baida ilimi boko ko Islam abunda yasani shanunsa Amma awayi gari masufin garfi su kwoce musu shanunsu sukashi musu iyali hukuma tacucesu basu Isa suyi magana sabada basuda gata shiya shiyasa kasan ba jaman lafiya so sai munkoma mufara adalci a sakaninmu ,kuma basu ilimi ba muzauna muitacewa sai kaja da kaja Allah kasa mu dace"
88,3,1,1,1,1,Wannan ai rashin hankali ne
89,0,0,0,0,2,Ado Hamisu Ado Aa malan sarkin kano Dabo ba almajirin Sarki sulaimanu bane dukkan su almajiran shehu usmanu dan fodiyyo ne aje anemi tarihi dai.
90,0,0,0,0,2,"Ae dama tson, tson da yaja ruwa shi ruwa ke duka"
91,3,1,1,1,1,Muna Allah wadai da wannan karar.
92,0,0,0,0,2,Agaskiya baayimusu adilciba dunwan yasherakara 52 antarwatsasu anrabasu damuhalinsu
93,3,1,1,1,2,Agaskiya mutanenmu suna da kawazuci wllh sosai wannan abunda turawannanda sukeyi wllh plan ne wllh domin bature bayayin abu banza kubuchiki meke faruwa da sarki saudi nayanzu ya asalinsa yake mamansa baya hudiyace yakamat mudinga yiwakanmu fadan tanutsâ€¦
94,0,0,0,0,2,"Ah to ae ya kagara tinda yabiya kudinsa to menene za ajira na Bata Lokaci KumaðŸ¤£, Mah Mood kaduba man lamarin Nan ðŸ˜‚ðŸ˜‚"
95,3,1,1,1,1,Ahaba malam adai duba wlh yanxuma yawanci dik hausawane kuma hadda matan hausawa nawane aka kama maitar fulanice dai tafara fitowa shiyasa aka sasu agaba haba
96,0,0,0,0,2,Yanzu kenan arewa akwai man fetur Amma baa hakoshiba sai yanzu
97,0,0,0,0,2,Ahmad Kawu Allah yasaka ma da alkhairi
98,3,1,1,1,1,Ni gani nakeyi kamar Nigeria kasar Æ´an comedy ne
99,0,0,0,0,2,Ahmad Kawu insha Allahu Fulani sai sunsamu yanci idon sojojin da gaske suke suje daji barayin nacan ba suxo karkara suna toye gidajen Wanda baruwansu
100,0,0,0,0,2,Wannan shine auren kajaga Allah kasa mudace yarabamuda waahalar maza
101,3,1,1,1,1,Kuji rashin hankali qarara
102,3,1,1,1,0,Hahahahaha ðŸ¤£ðŸ¤£ yace shi shege ne Ashe qarya ne ðŸ‘ˆðŸ‘ˆ Kuma duk tsiyar shi baxe kai bobrisky ba Wanda aka chanxa ma halitta
103,1,0,1,0,2,"Ahmad Kawu ka tabbata sune suke abinda ake zargi,Ahmad Kawu"
104,3,1,1,1,0,Ahmad Kawu kana sheda cewa sune rashin hankali yayiwa Allah ya nurar da wadan suka kin bin gaskiya
105,0,0,0,0,2,"Ahmad Kawu magarka gaskiyane,kuma a fahimta na kayi adalci a maganan da kayi tunda kace in zalumtar su akayi Allah zai bi kadunsu,Amma naji wasu na caccakar ka,kabarsu kawai,mu dai fatanmu Allah yakawo Mana karshen azzalumai da masu goyon bayan su"
106,0,0,0,0,2,"Masha Allah, Muna baraba da wannan kokarin, Muna fatan ya zama gaskiya ba irin aikin Manbila bakarshen azzalumai da masu goyon bayan su"
107,3,1,1,1,0,"Ai dama akwai namijin da idan ya auri mata komai kyan ta da kyan jikin ta sai ta lalace, saboda ruwan jikin su lalata mata yakeyi."
108,2,1,0,1,0,Ahmad Kawu mutane suyi shekara hamsin da biyu awuri....kurushe musu gidajen su toh Ina kukeson suje? Ina cewa dai jeji zasu sake shiga kuma wai ana Neman zaman lafiya... Bachinya ba kafar baya..ta Ina za'a zauna lafiya rushe musu gidajen shine zai kawo zaman lafiya?
109,3,1,1,1,1,Maza yanzu sunjidadin yiwa yayansu fyade ikon Allah
110,3,1,1,1,0,"Ahmad Suleman Nguru danshegeya aikai ne jahili sakaran banxa,wawa,shasha sha,mara tinani. Kufa duk inda kuki saikun nuna ku jahilai ne. Kaika isa ka iya kari yan uwan machiya amana azzalumai"
111,3,1,1,1,0,"Ahmed Mohammed wani history, taadanci da kuka ma iyayenmu,kuka ci amanarsu.wannan Karan bazaiyuba."
112,3,1,1,1,0,Ina zargi irin matan da mijinsu sai yabiya suke bashi hakkinsa nane to aka samu matsala baiyi samu yabiya ba kuma yashi magani yarbawa ya bukacita Taki shine yanema da karfi shine tsohowar banza tazo tanason ta tozartashi cikin bainar nasi Allah yayi Mana maikyau duniya da lahira
113,0,0,0,0,2,Ai abinda sukayi rashin tarbiya ne hukunci shi addaidai da su
114,3,1,1,1,0,"Ai an rage mugun irin, Allah ka shiryadda na baya"
115,0,0,0,0,2,"Ai ana zaluntar Fulani kam. An kirkiro wasu iyan ta,adda daga cikin Fulani domin su batawa sauran Fulani suna.to kusani jinsin kabilun Fulani sunfi kowani jinsi asali akasannan,sunada yawanda Baku isaku karaddaauba."
116,3,1,1,1,1,To suma'ya'yan kenan fyaden akayi mata har aka samesu
117,3,1,1,1,0,Ai bahaushe in zakaka rataye uwar shi zai miqa ma igiya. Mu munsan sha-sha-shu ne ku. Lokacin da sojoji sukai yi muku ta'addanci a zaria aka kashe mutum fiye da dubu. Sai kuka ce dai-dai ne ai alhakin zagin sahabbai ne.Yarabawa sun muku kisa a can kudu sun kona duk wata kaddara mallakar bahaushe mai ban haushi
118,3,1,1,1,0,Wai kuma dama haka kuke milyoyin iraniyawa sunfito sunnuna goyan bayansu gahijab amma daku hardasu BBC saidai kununamana aikin yahudawa kawai
119,0,0,0,0,2,Ai daga kaga anji ku to mutun baida kudi. Tunda kana dasu ai bata bari aji ku
120,1,0,1,0,2,"Ai dama ba'a san kyawawa da yawo a gari ba. Ki zauna a gida abinki kisha shagalin ki, tunda duniyan naki ne."
121,0,0,0,0,2,Ai du munin mace se ta samu wnd yake sonta y aura sede idan tana d wata manufa kmr tana son me kudi ko irin hk
122,0,0,0,0,2,"Ai duk duniya ba wasu matan da zan canza da iyan matan nigeria, ga riko da addini ga biyayya kuma har da so tsakani da Allah iya gwargwado. Wallahi nikam matan mu na nigeria sune zabina ba wasu ajakuta ba."
123,3,1,1,1,0,"Ai fulanin ne sai a hankali ni ida naga bafulatanin jeji matukar tsoronsa nakeji kawai a hana rayuwar jeji a fito dasu cikin jama,a a sama musu muhalli sub kuraye ba amma sunje jeji sun makale ba ilimin addini babu na zamani ba dole su dinga dabi,un dabbobi ba dama meye marabar dabi,un dabba da mutum kawai a jawosu a sasu a makaranta wanda yayi taurin kai a daka shege"
124,0,0,0,0,2,Ai Gara sita zuwa suna Dauke Yan Nigeria Tunda susun San darajar Bakar Fata ðŸ¤—ðŸ¤—
125,3,1,1,1,0,"Ai in kuka gan haka to akwai dalilin yin haka. Ai fulani yanzu ba abin yarda bane kusan kowa kitnapane da amroba .amm Allah yafi kowa, duk wannan ababen lokachi ne"
126,3,1,1,1,0,Ai ko shekara dubu sukayi indai maciya amana ne su ai yayi dai dai
127,0,0,0,0,2,"Ai kowa yasan cewa wake daya shi yake ba ta gari, kuma wani yake jawa wani..."
128,0,0,0,0,2,"Mashallah ðŸ˜Š Que Deus lhe dÃª um bom marido que irÃ¡ respeitar vocÃª e seus pais, te farÃ¡ feliz e em paz, que farÃ¡ vocÃª se casar Ã© uma misericÃ³rdia e nÃ£o um castigo, que irÃ¡ segurar suas mÃ£os atÃ© chegar ao lar paradisÃ­aco"
129,3,1,1,1,1,Munyi Allah wadai da wannan rashin hankalin
130,3,1,1,1,0,"Ai kuskuren da Fulani suka shine da suka dauki abokan zamansu na tsawon lokaci akan masoyansu me,alhali kuwa sune makiyansu na farko kuma sune makiyansu na gaske. ALLAH ya tsare mu da munafikin abokin zama"
131,0,0,0,0,2,Ai mastalan kenan dama shine bahaushe kecewa Dan kuka ke jama uwa jifa
132,3,1,1,1,0,Ai Mata masu gemu nan akwai Dan Karin Gulma/ Masifa ðŸ˜„
133,0,0,0,0,2,Ai Matan Nigeria ðŸ‡³ðŸ‡¬ duniyane ....turawa nazuwa chinawa nazuwa larabawa nazuwa wajanmu ammaku Kun gwammace kujecan ...asauka lfy
134,0,0,0,0,2,"Ai mun dandara baba ,hkama xamuyi basai an fada manaba"
135,0,0,0,0,2,Ai munsan Wannan Tsohon Labarin. Ku kawo Mana wani Sabon Labarin ðŸ˜ŠðŸ™ðŸƒ
136,0,0,0,0,2,ai nasonka. Kaiko kafikowa dadin takewa ana Maganan gomna.
137,3,1,1,1,1,"Ai ni ba tsaranshi ba ne, kuma bana zagin mutun sai wanda ya raina kanshi"
138,1,0,1,0,2,ai rahama dama Allah ne kayi GA Wanda suke tsoransa kuma masu biyayya su Kwa wannan babu tsoron babu biyaya kaga kawai sai su Shana a cen ja hannama
139,3,1,1,1,1,Ai shi bama guje jaki ne ko a yaushe
140,0,0,0,0,2,Ai Suna samu ba samu ne basa yi ba kawai su suke korarsa da Kansu ta hanyar bujurowa da saurayi bukatu kala kala
141,0,0,0,0,2,Ai sunmaraga masu kashesu yakamata suyi bawai korarsu yakamata ayiba ahalbesu kawai.
142,0,0,0,0,2,Ai sunsan inda yan ta addan ke zaune kuma saboda kada rikicin yakare shiyasa suke neman tada wani saboda kudin da akewarewa idan rikicin ya kwanta ai baza abasuba shiyasa basason yakare
143,0,0,0,0,2,Ai wannan kana gani kasan ba fasalin gidan Nigeria bane. Allah ya sa mu cika da imani
144,3,1,1,1,0,Ai ya Kamata duk Wani Bafulatani da yake zaman Daji Yadawo gari kokuma Ayimusu ruwan Wuta duk Wanda yake zama a Ciki daji to tabbas barawone Duk mutum mai gaskiya yana cikin gari
145,3,1,1,1,1,Ai yakamata don mallam ya tashi daga mallanta ya shiga rigar siyasa yanaci da addini
146,0,0,0,0,2,Ai yanuwansu ne massulmai suka halaka. Allah yakawo gyara. Da a chochine abinga yafaru ai da farinchiki musulmai zasuyi.
147,0,0,0,0,2,Ai yau munshiga uku mu'yan Nigeria ðŸ‡³ðŸ‡¬ saidai muyuta haifa musu ðŸ¤”ðŸ¤”
148,0,0,0,0,2,"Ai,ana waazi Don Allah ne badon kudiba,ya Raina kenan lallai ba pastor gaske bane wannan"
149,0,0,0,0,2,Aidaina izgili ga addinin wasu domin idan suka rama abin bazaiyi kyauba
150,3,1,1,1,1,Aidama kashesu sukai indai sunada laipi
151,0,0,0,0,2,aiki ne ya biyo ta kansu amma bai kamata ba taba wanda bai aikata laifin ko mai ba
152,0,0,0,0,2,Aikin banxa Mai laifi daban Wanda ake kashewa daban
153,3,1,1,1,2,aikin banxa wnn xaluncine ga wanda suke ankass xuwa ayakesu sai wanda basuda laifi akwai allah
154,3,1,1,1,0,"Aikin kenan,duk Kunbi kun kashe zuciyoyin ku Kun sayarda kimar ku agurin kafirai makiya Allah sbd Neman abun duniya. Allah ya kyauta."
155,3,1,1,1,1,Aikinbanzadawufi gamazacansungagarekusaikufarmayaradatsofaffi kunjikunyakude wahallu...
156,3,1,1,1,0,Aikinsu daya da yan Madigo Mata yan Madigo aji tsoron Allah a daina koya kananan yaraðŸ˜±ðŸ˜±ðŸ˜ðŸ˜‚ A)ah ya riga asiri ya Karen Al'ummar Musulmi daga fadawa wannan musiba Ameen
157,3,1,1,1,0,Aikuwa tashashi. Harna tuna lokacin muna premary akwai wata mata mai saida abinci Ã  cikin school din itama kemu yake fito mata aifa ba saya har cewa muke maiyya ce mace da gemu mayyace Kai yarinta da dadi wllh
158,0,0,0,0,2,Aikwa dai yayi dace. Domin samun mace. Mai kyawun wnn a Yan. Matan muma saika dage ðŸ˜Ž 
159,0,0,0,0,2,Aitanan sukafi korewa daman
160,3,1,1,1,0,"Akamme? Kutumar uwarshi da wannan ka'ra daya kai, shege yaje kotun duniya ma inya so. Dan banza tsi'nan ne kawai."
161,3,1,1,1,0,"Dan Arewa Sha,Sha shune wawaye kurum mafi yawa daga cikin mu.kullum burinsu su ga za,a rataya Dan,uwansu sune zasu saya igiya a rataya shi.Allah wadaran da naka ya lalace.bayan Buhari ya wuce sai ku kawo Arne kudu daura shi Mana."
162,3,1,1,1,0,To angaya muku mu wawaye kamar iyan kauye
163,0,0,0,0,2,Akwai dai abinda Suka hango suka rushe gidajen
164,1,0,1,0,2,Akwai dalili aiba'ayiwa yangata haka sunemasu qasarfa
165,0,0,0,0,2,Akwai dalili dacan a rushe mana
